Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             187.828     -8.055          51.758    328.167
N                                 253.653    -36.929          69.061    444.084
M                                 259.811     54.081          68.045    432.234
k1                                232.703    -67.046          77.529    453.489
k2                                218.614     34.760          73.910    437.596
tau1                              295.819    -79.209          81.673    496.155
tau2                              235.551     -4.901          65.578    407.869
tauAch                            239.063     27.121          75.494    459.931
tauNor                            209.404      5.577          67.479    395.884
beta                              268.291    -45.760          63.919    418.256
h0                                254.339    -11.351          66.475    426.546
mNor                              314.428     77.453          85.939    519.854
mAch                              226.821      4.238          70.574    430.857
