Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             230.167     -3.224          68.865    416.871
N                                 319.773    -40.042          93.977    565.286
M                                 329.659     78.623          86.026    556.796
k1                                290.901    -87.268          99.434    579.611
k2                                277.870     49.629          95.504    563.723
tau1                              369.668   -105.000         105.073    632.030
tau2                              294.673    -13.209          83.461    520.982
tauAch                            280.256      5.776          81.811    510.006
tauNor                            256.521     16.181          83.497    499.086
beta                              334.895    -51.691          82.006    532.793
h0                                311.225    -13.697          83.146    544.853
mNor                              398.197     93.764         104.072    660.678
mAch                              250.986     28.559          77.274    476.024
