Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             117.193     -6.287          31.821    201.490
N                                 153.586    -23.501          44.571    269.774
M                                 159.703     32.038          39.896    262.820
k1                                142.434    -41.020          47.552    276.873
k2                                132.757     20.687          46.134    264.637
tau1                              182.021    -46.256          47.775    302.172
tau2                              145.329     -2.945          40.230    249.120
tauAch                            133.579      4.170          40.504    243.905
tauNor                            127.859      1.758          38.051    239.936
beta                              164.187    -29.529          37.075    254.324
h0                                157.892     -8.933          40.165    259.539
mNor                              190.670     47.343          50.705    316.584
mAch                              127.124     16.679          36.751    230.008
