Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              39.872    -12.711          17.192     98.672
N                               23927.898  23891.944       45394.781 238935.012
M                                  34.768     -3.735           9.620     59.348
k1                                 29.910      4.080           8.901     55.115
k2                              23930.633  23889.543       47444.105 238935.325
tau1                               38.702     11.523           9.361     61.345
tau2                               31.073     -2.710           9.610     57.964
tauAch                             38.589      1.210          11.911     72.366
tauNor                             30.492      0.001           8.902     55.189
beta                               34.660     -4.804           9.305     59.039
h0                                 37.857     -7.468          12.290     73.633
mNor                               42.316     -9.768          11.366     72.259
mAch                               37.835      7.061          16.173     93.168
