Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             258.674      9.800          74.336    453.684
N                                 342.826    -50.706          90.440    590.786
M                                 351.295     85.067          94.042    588.775
k1                                318.307    -99.698         106.446    617.404
k2                                320.824     20.801         100.013    615.038
tau1                              386.428   -113.924         102.920    643.831
tau2                              302.113     -3.855          83.273    529.340
tauAch                            321.407    -16.037          85.219    544.551
tauNor                            296.600     45.671          92.247    568.465
beta                              357.805    -32.535          86.063    566.909
h0                                322.504     10.342          87.269    549.765
mNor                              414.150    104.907         103.283    677.334
mAch                              276.338     10.954          83.599    512.651
