Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             192.793      1.188          52.936    339.771
N                                 265.385    -32.962          73.074    465.884
M                                 272.350     61.470          71.263    455.655
k1                                240.652    -69.102          77.525    467.456
k2                                236.458     36.307          79.882    471.449
tau1                              306.221    -89.541          85.614    513.545
tau2                              241.239     -5.724          66.528    423.119
tauAch                            233.101     -2.160          65.317    413.689
tauNor                            215.046     12.145          67.935    414.428
beta                              278.799    -32.075          64.926    441.839
h0                                260.111      1.239          70.815    444.461
mNor                              327.539     78.292          85.233    539.685
mAch                              206.566     19.158          64.328    388.202
