Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              59.264     32.587          54.220    284.661
N                                  35.097     -1.922           9.469     59.326
M                                  37.492     -2.830          10.142     64.001
k1                                 28.012      5.427           8.877     53.661
k2                                 35.275     -2.052          10.545     65.564
tau1                               40.489     10.962           9.678     64.456
tau2                           71232501294429.797 -71232494161931.844 135979506235762.719 712324977641880.500
tauAch                             61.660    -24.977          53.887    281.503
tauNor                             32.615      1.166           9.416     58.376
beta                               49.261    -19.392          27.191    150.173
h0                             216338492436481.000 -216338485303976.000 428395320092390.875 2163384889062346.250
mNor                           71232497728235.484 -71232497728147.297 135199207664566.453 712324977281660.375
mAch                           216338488870257.438 -216338488870219.719 438537281874077.500 2163384888702120.500
