Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             244.940     -3.101          70.426    432.059
N                                 337.434    -39.973          95.719    590.316
M                                 346.414     82.970          90.148    579.485
k1                                305.176    -90.164         102.725    598.749
k2                                296.064     49.186         100.329    591.026
tau1                              389.487   -108.886         108.067    655.375
tau2                              307.061    -12.297          89.300    538.916
tauAch                            298.874      1.669          83.885    529.889
tauNor                            266.913     17.152          85.538    515.284
beta                              349.417    -46.824          84.425    554.534
h0                                326.164     -5.974          91.714    561.687
mNor                              414.144     95.233         107.069    685.080
mAch                              263.745     28.323          80.477    494.352
