Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             181.938     -3.905          51.376    326.981
N                                 250.484    -32.758          73.990    442.209
M                                 258.412     60.525          69.138    435.381
k1                                228.645    -68.159          76.779    454.617
k2                                217.145     38.511          74.826    439.921
tau1                              291.107    -81.122          80.248    495.450
tau2                              231.980     -9.479          64.979    407.746
tauAch                            219.485      5.262          66.509    400.225
tauNor                            202.514     11.318          65.619    391.061
beta                              263.682    -42.642          64.045    417.035
h0                                246.774    -12.404          68.590    427.340
mNor                              312.190     74.345          85.120    518.242
mAch                              198.810     23.415          64.085    373.870
