Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             214.723     21.752          55.350    365.186
N                                 265.230    -32.366          73.826    465.477
M                                 274.419     67.056          72.461    457.671
k1                                247.566    -70.679          82.574    477.103
k2                                237.297     37.677          77.686    470.729
tau1                              315.488    -79.650          85.909    537.797
tau2                              244.414     -8.688          66.896    427.995
tauAch                            248.569      2.389          68.520    430.796
tauNor                            215.608     28.746          70.232    416.254
beta                              277.267    -38.117          63.167    440.291
h0                                261.293      7.327          71.483    447.200
mNor                              326.033     75.084          84.555    541.268
mAch                              219.214     14.353          67.843    403.449
