Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             234.891     -3.648          65.678    423.203
N                                 326.786    -40.040          89.758    575.900
M                                 335.795     78.916          93.345    566.075
k1                                296.865    -88.680         103.152    588.120
k2                                284.427     49.535          96.127    574.243
tau1                              377.546   -106.733         104.298    642.676
tau2                              300.728    -12.759          85.158    529.977
tauAch                            286.082      5.155          82.129    518.526
tauNor                            262.396     15.616          83.269    508.237
beta                              341.289    -50.901          83.344    542.062
h0                                317.203    -12.742          88.938    552.724
mNor                              406.046     95.357         103.905    672.416
mAch                              256.066     28.576          78.275    484.219
