Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             172.449      3.707          49.361    304.957
N                                 236.778    -27.250          66.579    414.762
M                                 243.591     56.541          65.836    409.104
k1                                214.453    -61.085          69.197    416.496
k2                                213.777     32.656          73.506    425.554
tau1                              272.292    -81.483          73.921    456.818
tau2                              215.541     -4.894          61.316    379.414
tauAch                            212.712     -2.369          57.599    372.631
tauNor                            192.953     13.860          61.833    371.156
beta                              246.736    -29.181          57.853    396.220
h0                                228.770     -0.253          62.189    395.634
mNor                              291.691     69.513          76.376    481.380
mAch                              181.593     14.936          57.841    345.266
