Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             202.567      5.727          57.050    344.073
N                                 262.952    -33.831          73.011    459.543
M                                 280.500     75.866          77.224    478.290
k1                                256.985    -86.162          88.870    510.236
k2                                236.015     28.971          77.137    462.789
tau1                              303.200    -85.725          76.509    503.556
tau2                              243.508     -1.823          64.094    419.181
tauAch                            249.408    -19.477          68.364    436.626
tauNor                            225.686     27.937          78.158    448.535
beta                              271.380    -30.665          64.834    430.276
h0                                248.216      4.873          68.255    425.930
mNor                              321.678     77.396          83.162    528.091
mAch                              211.369     14.775          63.449    384.865
