Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             133.686     -4.098          38.305    237.344
N                                 182.563    -25.021          54.178    321.126
M                                 188.093     42.082          47.504    314.651
k1                                167.477    -49.291          54.996    329.368
k2                                157.662     26.795          53.346    317.916
tau1                              213.136    -57.777          58.469    359.705
tau2                              169.574     -5.825          48.853    295.740
tauAch                            158.530      4.043          47.415    289.447
tauNor                            148.820      6.257          46.940    284.381
beta                              192.975    -32.065          45.495    302.541
h0                                181.644     -9.259          47.467    309.295
mNor                              227.172     54.635          59.355    376.293
mAch                              146.586     17.920          45.274    272.005
