Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             235.158     -3.006          66.507    423.815
N                                 326.732    -39.866          91.202    575.835
M                                 336.378     79.936          88.168    566.885
k1                                296.763    -88.736          98.489    588.879
k2                                284.706     49.957          96.392    574.948
tau1                              377.433   -107.192         107.134    642.811
tau2                              300.487    -13.160          84.789    529.996
tauAch                            286.877      4.974          84.320    519.202
tauNor                            261.960     16.622          83.045    508.024
beta                              341.180    -50.806          80.412    542.330
h0                                317.126    -12.511          89.212    553.297
mNor                              405.932     95.108         103.424    672.442
mAch                              255.579     28.362          78.178    484.371
