Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              80.590      2.462          22.821    139.259
N                                 107.235    -10.702          31.730    187.330
M                                 112.127     27.365          29.418    183.792
k1                                 99.371    -28.761          32.812    188.298
k2                                 95.791     15.963          30.972    189.017
tau1                              124.399    -36.256          32.036    206.114
tau2                               97.966     -5.307          27.268    170.375
tauAch                             97.370     -0.422          26.204    166.880
tauNor                             85.920      7.807          27.220    164.319
beta                              108.901    -11.186          27.048    175.638
h0                                104.129      0.851          28.428    177.142
mNor                              129.687     28.479          33.061    214.552
mAch                               82.305      6.353          25.550    154.500
