Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             121.936    -51.132         101.272    544.132
N                                 101.580    -27.841          40.367    224.415
M                                  85.989     20.670          23.224    142.625
k1                                 72.802    -19.636          24.366    139.568
k2                                 84.028      7.127          26.219    160.154
tau1                               94.589    -29.238          23.868    156.828
tau2                              117.648     44.884          92.059    481.206
tauAch                            193.953    -94.860         204.304   1023.666
tauNor                             69.501      6.922          23.557    133.654
beta                              135.169    -51.704          91.766    505.222
h0                                 78.562      6.364          22.191    136.919
mNor                              163.746     87.258         102.875    558.056
mAch                               61.418      0.013          22.454    123.743
