Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             233.265     -3.219          69.469    421.290
N                                 324.132    -40.455          89.034    572.010
M                                 333.685     79.071          93.112    563.135
k1                                294.649    -88.280         102.535    585.675
k2                                281.994     49.490          96.901    570.831
tau1                              374.622   -106.122         101.639    639.005
tau2                              298.125    -12.587          83.233    526.737
tauAch                            284.331      5.181          83.286    515.814
tauNor                            260.035     16.139          82.251    504.920
beta                              339.154    -51.668          83.294    539.105
h0                                315.085    -12.793          86.923    550.185
mNor                              403.059     94.737         106.066    668.452
mAch                              254.357     28.583          76.784    481.564
