Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             236.021     -5.168          69.406    423.535
N                                 327.134    -40.186          94.047    575.045
M                                 336.275     77.850          88.491    566.148
k1                                296.922    -88.071          95.029    588.764
k2                                285.038     49.561          96.450    573.835
tau1                              379.911   -106.103         101.568    643.560
tau2                              301.765    -11.962          82.548    529.772
tauAch                            286.754      5.931          82.331    521.278
tauNor                            264.257     14.454          84.071    508.621
beta                              342.863    -52.050          82.149    542.065
h0                                320.459    -15.327          89.653    553.898
mNor                              407.364     96.365         106.213    673.964
mAch                              257.749     29.361          78.800    485.757
