Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             225.463     -4.918          62.710    403.592
N                                 312.117    -41.250          87.413    550.134
M                                 320.161     72.979          82.427    537.347
k1                                284.972    -84.891          95.676    559.904
k2                                269.925     45.288          93.864    544.841
tau1                              361.456    -99.923          97.823    612.658
tau2                              287.275    -10.624          82.761    504.622
tauAch                            270.465      5.017          82.166    491.200
tauNor                            251.413     12.110          79.468    485.153
beta                              326.900    -50.131          75.560    516.657
h0                                304.306    -11.051          83.137    525.106
mNor                              386.918     91.841         101.228    641.130
mAch                              247.706     28.136          75.265    462.195
