Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             175.098     -4.192          51.946    313.547
N                                 240.258    -31.957          67.377    423.710
M                                 247.830     57.441          65.513    416.716
k1                                219.641    -65.231          73.266    435.565
k2                                208.038     36.588          69.828    420.939
tau1                              279.578    -77.349          74.359    474.904
tau2                              222.659     -8.663          61.710    390.449
tauAch                            210.178      5.251          62.238    383.335
tauNor                            194.754     10.195          61.668    374.933
beta                              253.253    -41.408          61.839    399.505
h0                                237.485    -12.175          65.286    409.329
mNor                              299.368     71.582          77.793    496.846
mAch                              191.423     22.729          59.192    358.653
