Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             240.454     -2.505          67.130    429.927
N                                 334.244    -38.534          90.084    586.122
M                                 343.507     81.171          93.248    576.842
k1                                302.906    -89.862         101.628    596.867
k2                                293.215     50.047          99.621    587.282
tau1                              385.791   -109.604         109.110    652.837
tau2                              306.651    -13.066          85.236    538.725
tauAch                            294.651      3.611          80.893    528.388
tauNor                            267.894     17.083          87.145    516.519
beta                              347.681    -48.117          84.395    551.972
h0                                323.367    -10.614          87.971    560.906
mNor                              413.674     96.091         109.562    683.391
mAch                              260.122     27.829          80.310    492.069
