Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              90.333     -5.748          23.868    151.993
N                                 117.018    -17.993          33.902    204.851
M                                 122.355     21.701          30.138    198.299
k1                                109.211    -31.056          34.958    207.666
k2                                100.793     14.073          34.379    199.613
tau1                              138.693    -33.946          35.566    227.668
tau2                              111.651     -2.326          29.364    189.883
tauAch                            100.829      2.519          29.808    182.867
tauNor                             97.363     -0.770          29.640    181.943
beta                              125.175    -21.025          28.648    192.734
h0                                119.907     -5.376          28.990    194.003
mNor                              144.451     35.643          37.955    237.863
mAch                               97.281     13.322          28.872    173.541
