Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             193.430     -6.843          53.873    341.077
N                                 263.122    -37.065          73.833    461.143
M                                 269.375     58.875          71.770    451.097
k1                                240.806    -69.841          82.710    472.917
k2                                227.773     37.886          74.436    456.605
tau1                              306.849    -83.464          83.907    516.389
tau2                              243.939     -6.165          65.084    424.227
tauAch                            228.236      6.443          66.225    415.052
tauNor                            216.128      8.310          66.919    410.101
beta                              277.847    -47.175          68.523    435.064
h0                                262.965    -12.389          73.743    445.191
mNor                              327.013     79.812          83.708    540.890
mAch                              212.125     25.349          64.174    390.547
