Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             233.070     -2.202          65.083    418.471
N                                 322.312    -38.945          93.377    568.117
M                                 333.023     79.887          90.374    559.841
k1                                293.404    -87.742          99.710    581.459
k2                                281.074     49.950          95.387    567.624
tau1                              372.570   -106.248         102.429    634.100
tau2                              296.931    -13.847          87.054    523.307
tauAch                            283.890      4.953          80.776    512.155
tauNor                            258.427     17.415          87.118    500.829
beta                              336.360    -49.929          81.746    535.133
h0                                313.487    -12.106          89.615    546.425
mNor                              399.862     93.337         101.786    662.803
mAch                              251.913     27.767          79.327    477.282
