Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             242.839     -2.175          70.092    431.560
N                                 336.316    -38.977          90.560    588.890
M                                 345.602     82.244          91.218    578.998
k1                                304.600    -90.227         101.037    598.520
k2                                295.365     49.660          99.863    590.304
tau1                              388.057   -109.753          96.975    654.697
tau2                              307.442    -12.840          86.174    539.646
tauAch                            297.488      2.514          82.758    529.872
tauNor                            268.236     17.622          87.001    516.953
beta                              348.981    -47.159          86.057    554.093
h0                                325.096     -8.139          87.233    561.837
mNor                              414.530     95.769         113.797    685.089
mAch                              261.913     27.678          82.020    493.658
