Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             234.855     -3.032          69.771    422.463
N                                 326.782    -38.647          90.121    574.809
M                                 336.186     79.460          87.605    565.934
k1                                296.433    -88.336         100.673    586.988
k2                                285.477     49.841         102.406    574.621
tau1                              377.461   -107.316          99.317    641.516
tau2                              300.457    -13.224          86.248    529.040
tauAch                            287.062      4.797          84.035    518.697
tauNor                            262.205     16.495          82.331    507.178
beta                              340.801    -49.336          83.963    541.342
h0                                316.869    -12.513          87.372    551.855
mNor                              405.850     94.805         103.285    671.245
mAch                              254.960     27.950          79.446    483.360
