Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             131.455     -3.838          37.498    233.748
N                                 179.436    -24.527          51.865    316.045
M                                 184.933     41.892          49.642    310.164
k1                                164.382    -48.537          54.019    324.552
k2                                155.124     26.611          54.626    313.258
tau1                              209.415    -57.029          55.923    353.989
tau2                              166.666     -5.750          45.073    291.164
tauAch                            156.381      3.899          44.689    285.475
tauNor                            146.221      6.614          46.686    279.926
beta                              189.542    -31.549          46.069    297.931
h0                                178.466     -9.101          48.537    304.879
mNor                              223.370     53.744          59.486    370.584
mAch                              143.911     17.417          45.588    267.691
