Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              21.249    -11.226          15.634     79.872
N                                  13.022      1.620           3.714     22.993
M                                  13.023     -3.161           3.550     22.129
k1                                 18.164     -2.989          12.580     67.090
k2                                 14.096      0.071           4.280     26.059
tau1                               15.476      5.788           4.079     25.994
tau2                           362502.530 -362486.582      675540.939 3624854.692
tauAch                             31.598     -1.939          25.163    131.790
tauNor                             11.760     -1.935           4.013     23.397
beta                               12.973      0.587           3.343     21.117
h0                             362501.114 -362490.354      717886.296 3624859.494
mNor                               16.388     -4.671           4.375     27.775
mAch                               10.878      0.673           3.347     20.524
