Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             236.679     -2.251          70.690    424.675
N                                 327.375    -39.160          91.507    576.693
M                                 338.237     81.114          90.770    568.483
k1                                297.964    -89.067          98.746    590.218
k2                                285.691     50.773          96.100    576.458
tau1                              378.381   -107.951         100.330    643.656
tau2                              301.686    -14.145          85.729    531.450
tauAch                            288.532      5.004          78.339    520.268
tauNor                            262.526     17.743          84.584    508.365
beta                              341.566    -50.429          83.862    543.230
h0                                318.258    -12.366          84.261    554.720
mNor                              405.983     94.658         111.544    672.829
mAch                              255.657     28.127          77.020    484.414
