Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             235.789     -4.268          67.021    425.309
N                                 328.823    -39.494          92.829    578.578
M                                 337.665     78.846          89.283    569.535
k1                                297.984    -88.701         105.418    591.304
k2                                286.773     49.909          96.985    578.013
tau1                              380.479   -107.371         104.199    646.541
tau2                              302.504    -12.504          86.877    532.861
tauAch                            287.994      5.321          84.584    523.223
tauNor                            264.556     15.360          86.028    511.242
beta                              343.691    -50.797          85.482    545.184
h0                                319.445    -13.987          89.336    556.224
mNor                              409.238     96.239         108.578    676.920
mAch                              257.613     28.781          82.080    487.537
