Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             236.150     -6.482          70.166    420.991
N                                 326.367    -41.128          93.468    572.956
M                                 334.837     75.466          89.368    561.718
k1                                296.897    -87.622         101.152    584.878
k2                                283.626     48.079          93.464    569.660
tau1                              379.520   -104.711          99.876    640.442
tau2                              301.250    -11.090          85.044    527.359
tauAch                            284.057      6.010          84.665    516.847
tauNor                            264.327     12.301          81.054    506.648
beta                              342.467    -52.239          80.598    539.163
h0                                320.705    -14.763          87.940    549.771
mNor                              405.786     96.551         107.509    670.520
mAch                              258.519     29.921          77.912    483.454
