Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             262.937     -3.879          69.464    443.146
N                                 346.058    -46.724          97.426    606.685
M                                 359.356     94.619          92.120    591.666
k1                                324.773   -108.410         109.356    618.355
k2                                312.800     30.161         103.451    609.316
tau1                              397.187   -102.168         103.599    662.772
tau2                              303.098    -12.999          85.963    532.562
tauAch                            333.320    -21.826          87.903    556.998
tauNor                            275.343     27.103          85.086    536.707
beta                              350.522    -42.238          82.474    554.307
h0                                341.527     32.580          88.805    569.273
mNor                              409.819     92.436         107.705    678.754
mAch                              276.098     14.654          81.431    500.498
