Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             193.346     -1.473          56.288    346.283
N                                 267.054    -32.210          74.590    470.605
M                                 275.936     66.200          74.754    463.590
k1                                243.416    -72.692          81.130    481.215
k2                                233.231     41.189          82.631    470.536
tau1                              308.618    -88.084          82.243    524.757
tau2                              246.123    -11.362          68.079    433.556
tauAch                            235.352      3.718          66.787    423.425
tauNor                            214.119     14.550          71.108    414.869
beta                              278.607    -40.978          70.801    443.433
h0                                259.739     -9.226          71.697    452.268
mNor                              330.888     77.126          83.614    548.452
mAch                              208.501     22.847          65.351    394.730
