Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             240.116     -2.628          68.574    429.500
N                                 333.974    -38.648          93.146    585.690
M                                 343.040     80.896          88.439    576.260
k1                                302.576    -89.774         105.436    596.307
k2                                292.886     49.875          97.595    586.670
tau1                              385.459   -109.409         101.970    652.316
tau2                              306.365    -12.897          86.715    538.237
tauAch                            294.214      3.616          84.809    527.826
tauNor                            267.753     16.870          85.320    516.217
beta                              347.473    -48.211          87.065    551.534
h0                                323.067    -10.618          89.754    560.373
mNor                              413.411     96.109         110.875    682.925
mAch                              260.015     27.867          78.875    491.751
