Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             235.988     -4.295          69.787    425.413
N                                 329.246    -39.535          89.168    578.964
M                                 337.945     78.767          90.690    569.728
k1                                298.318    -88.610          98.246    591.394
k2                                287.224     49.680          98.876    578.442
tau1                              380.962   -107.388         104.827    646.837
tau2                              302.730    -12.313          86.433    532.976
tauAch                            288.191      5.151          92.769    523.226
tauNor                            264.951     15.198          84.411    511.655
beta                              344.089    -50.664          84.356    545.562
h0                                319.739    -13.749          89.264    556.267
mNor                              409.651     96.325         103.584    677.250
mAch                              257.982     28.920          78.532    487.906
