Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             197.996     -3.115          57.750    353.453
N                                 273.190    -35.820          77.416    481.615
M                                 280.563     65.933          76.792    472.171
k1                                249.021    -74.205          85.576    491.208
k2                                237.544     39.783          79.739    479.977
tau1                              315.971    -88.013          88.243    536.157
tau2                              250.518     -8.929          71.504    441.854
tauAch                            239.415      2.920          69.778    431.319
tauNor                            219.011     12.570          71.056    423.880
beta                              285.779    -43.519          64.442    453.368
h0                                266.159     -7.546          75.820    460.444
mNor                              338.034     79.735          86.967    561.045
mAch                              216.191     24.504          67.541    404.542
