Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             206.316     -1.491          58.693    369.068
N                                 285.405    -36.989          80.080    502.667
M                                 293.554     67.244          78.684    494.925
k1                                259.587    -76.634          86.436    512.027
k2                                251.628     40.218          88.606    506.701
tau1                              330.651    -95.139          89.921    560.227
tau2                              261.220     -7.576          74.234    462.258
tauAch                            249.653      1.086          71.235    450.490
tauNor                            231.029     14.149          76.619    447.328
beta                              299.869    -44.373          75.024    477.322
h0                                277.631     -7.009          73.476    481.487
mNor                              354.927     84.711          93.364    587.942
mAch                              224.425     23.606          70.517    423.253
