Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             206.408     -6.072          58.598    367.071
N                                 285.251    -37.833          80.220    502.867
M                                 292.022     64.764          79.332    488.595
k1                                260.988    -77.561          86.649    509.321
k2                                245.741     40.496          84.245    494.921
tau1                              330.416    -90.350          88.526    558.139
tau2                              263.893    -10.237          73.967    461.226
tauAch                            245.205      4.785          71.002    446.206
tauNor                            229.849      9.157          72.169    442.491
beta                              298.536    -45.055          70.291    470.376
h0                                278.193     -9.742          74.165    477.478
mNor                              352.548     83.999          90.635    583.532
mAch                              226.770     26.396          68.830    420.492
