Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                          140736612918474811176269119488.000 140736612918474811176269119488.000 269805174708067223508248166400.000 1407366129184750504299993235456.000
N                                   0.000      0.000           0.000      0.000
M                                   0.000      0.000           0.000      0.000
k1                                  0.000      0.000           0.000      0.000
k2                                  0.000      0.000           0.000      0.000
tau1                                0.000      0.000           0.000      0.000
tau2                                0.000      0.000           0.000      0.000
tauAch                         140736612918474811176269119488.000 140736612918474811176269119488.000 286218590325850451899349729280.000 1407366129184750504299993235456.000
tauNor                              0.000      0.000           0.000      0.000
beta                                0.000      0.000           0.000      0.000
h0                                  0.000      0.000           0.000      0.000
mNor                                0.000      0.000           0.000      0.000
mAch                                0.000      0.000           0.000      0.000
