Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                            1649.435  -1612.563        3072.296  16183.923
N                                  37.231      1.755          10.599     64.663
M                              7307151521430.488 7307151521392.916 14189530977243.029 73071515213957.766
k1                                 26.829      5.128           8.641     51.282
k2                             7307228932153.336 7307228932117.707 13998218354522.436 73071507398799.781
tau1                               38.528     10.568           9.506     61.422
tau2                               31.308     -5.261          10.226     61.949
tauAch                             40.939      6.003          13.385     78.107
tauNor                         77410754.500 77410724.348   147407725.354 774107232.183
beta                               34.979     -5.393           9.524     60.009
h0                             4500631.824 4500599.933     9079778.510 45006003.488
mNor                               47.184    -15.596          13.840     84.611
mAch                               26.893      0.358           8.706     52.001
