Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             234.971     -3.696          69.904    423.445
N                                 326.867    -40.138          92.718    575.720
M                                 335.926     79.183          91.588    566.403
k1                                296.588    -88.556         101.445    588.450
k2                                284.620     49.439          99.079    574.586
tau1                              377.718   -106.741         102.882    642.706
tau2                              300.431    -12.557          85.011    529.679
tauAch                            286.496      4.911          85.524    519.341
tauNor                            262.354     15.851          83.268    508.074
beta                              341.455    -50.946          87.313    542.192
h0                                317.186    -12.689          88.474    552.829
mNor                              406.232     95.470         104.500    672.717
mAch                              256.114     28.593          80.253    484.662
