Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             232.899     -4.166          70.643    420.991
N                                 323.426    -40.496          92.784    570.842
M                                 333.008     78.690          91.262    562.283
k1                                293.840    -87.941          96.729    585.439
k2                                280.920     49.820          94.227    569.117
tau1                              374.460   -105.614         102.305    638.597
tau2                              298.118    -12.780          87.263    526.128
tauAch                            283.288      5.977          86.871    516.341
tauNor                            260.088     15.602          86.192    504.224
beta                              338.934    -52.580          81.999    537.980
h0                                315.359    -14.632          86.115    550.331
mNor                              402.849     95.127         109.031    668.080
mAch                              254.356     29.158          80.897    481.504
