Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             237.568     -0.943          69.272    422.608
N                                 326.573    -38.043          93.561    574.309
M                                 338.305     81.677          87.718    566.371
k1                                298.222    -88.853          98.026    587.064
k2                                286.020     50.786          99.965    575.185
tau1                              377.428   -108.222         103.819    639.897
tau2                              301.554    -14.766          83.430    529.686
tauAch                            289.027      4.297          83.037    516.961
tauNor                            261.885     18.815          82.296    505.816
beta                              339.988    -48.749          84.684    541.092
h0                                317.682    -10.601          84.388    551.872
mNor                              403.296     93.346         107.819    668.405
mAch                              254.253     27.321          78.403    480.725
