Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             161.944     -2.446          46.281    291.846
N                                 224.741    -28.392          62.871    396.815
M                                 231.070     54.343          61.778    389.413
k1                                204.677    -61.230          71.175    405.204
k2                                195.054     34.089          67.810    394.606
tau1                              259.686    -73.380          71.601    442.771
tau2                              206.880     -8.902          58.298    364.789
tauAch                            196.175      3.865          57.552    355.983
tauNor                            180.404     10.575          59.516    350.176
beta                              234.975    -35.692          56.275    373.218
h0                                218.495     -8.684          61.239    380.624
mNor                              279.299     65.810          72.048    462.895
mAch                              176.636     19.859          55.479    333.474
