Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             200.010     -0.843          56.036    350.694
N                                 272.868    -33.808          78.372    478.746
M                                 281.208     68.282          71.347    469.211
k1                                248.438    -73.566          81.346    485.163
k2                                239.389     39.477          83.181    479.137
tau1                              314.946    -88.170          85.202    530.113
tau2                              248.379     -9.769          70.307    436.382
tauAch                            242.637      0.243          67.319    426.744
tauNor                            214.995     15.104          70.227    417.721
beta                              282.413    -38.406          68.981    449.477
h0                                264.713     -1.513          72.313    455.083
mNor                              333.149     76.203          87.981    553.203
mAch                              213.652     22.731          66.796    398.965
