Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             231.071     -2.693          68.753    417.186
N                                 320.326    -39.608          90.977    565.850
M                                 330.689     79.126          88.558    557.437
k1                                291.590    -87.381          96.879    579.800
k2                                278.713     49.816          94.973    564.686
tau1                              370.353   -105.473          99.672    632.313
tau2                              295.194    -13.533          83.105    521.357
tauAch                            281.334      5.543          80.802    510.182
tauNor                            256.941     16.707          82.114    499.346
beta                              334.999    -50.926          80.895    533.227
h0                                311.859    -13.101          85.336    545.017
mNor                              398.436     93.511         103.174    660.855
mAch                              251.050     28.165          78.932    476.045
