Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             173.098    -15.355          43.524    283.231
N                                 208.847    -38.168          61.345    370.676
M                                 223.469     31.806          55.587    360.882
k1                                197.818    -53.593          65.823    376.181
k2                                182.940     20.427          61.880    362.181
tau1                              253.244    -58.730          67.217    409.297
tau2                              204.745      2.343          56.998    348.094
tauAch                            186.432      4.186          56.099    335.634
tauNor                            179.181     -7.536          55.171    334.158
beta                              228.169    -40.414          53.521    353.197
h0                                222.012     -8.377          53.692    353.486
mNor                              256.762     68.916          68.685    429.858
mAch                              180.198     24.574          51.185    317.732
