Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             145.831     -0.061          40.590    256.328
N                                 199.653    -24.536          56.526    350.074
M                                 205.515     49.730          53.412    343.183
k1                                181.916    -53.797          57.676    354.630
k2                                175.669     28.601          58.262    351.055
tau1                              230.167    -64.851          59.873    387.179
tau2                              182.068     -7.007          50.351    319.609
tauAch                            177.524     -0.178          50.022    312.082
tauNor                            158.011     11.392          51.867    306.383
beta                              206.742    -27.794          52.272    329.024
h0                                193.294     -0.797          52.423    332.549
mNor                              243.922     56.002          63.530    404.605
mAch                              155.660     16.083          46.811    291.462
