Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             212.980     -0.927          58.113    378.800
N                                 293.620    -34.457          85.168    516.014
M                                 303.497     72.707          77.525    507.687
k1                                267.937    -79.762          91.089    525.919
k2                                256.885     44.751          89.177    516.012
tau1                              338.970    -96.557          90.873    574.160
tau2                              270.873    -12.852          77.491    475.076
tauAch                            259.103      3.451          74.689    462.605
tauNor                            235.182     15.988          77.459    454.159
beta                              305.430    -43.449          75.910    485.502
h0                                285.278     -8.637          78.531    494.251
mNor                              362.305     83.606          98.942    599.464
mAch                              228.605     24.901          68.609    431.460
