Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             226.779     -1.970          65.982    406.672
N                                 313.223    -37.492          89.840    552.049
M                                 323.994     77.824          85.097    544.278
k1                                285.456    -85.285          94.783    565.231
k2                                273.325     48.919          94.666    551.737
tau1                              362.188   -103.500          96.702    616.341
tau2                              288.931    -13.858          80.758    508.924
tauAch                            276.056      5.019          79.954    497.779
tauNor                            251.310     17.175          82.316    486.718
beta                              326.895    -48.407          80.664    520.142
h0                                304.901    -12.086          86.632    531.421
mNor                              388.511     90.562         102.795    643.986
mAch                              244.736     26.927          77.438    463.600
