Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              56.411      1.019          15.837     98.529
N                                  76.069     -7.964          21.465    133.058
M                                  79.522     19.333          20.110    130.890
k1                                 70.237    -20.504          23.182    134.788
k2                                 67.116     11.822          22.967    133.697
tau1                               88.352    -25.708          23.582    147.486
tau2                               69.866     -3.959          19.541    121.648
tauAch                             67.940      0.481          18.938    118.802
tauNor                             61.022      5.221          19.973    116.912
beta                               77.762     -9.231          19.531    125.029
h0                                 74.188     -1.079          19.688    126.780
mNor                               93.033     20.858          24.037    153.664
mAch                               58.815      5.144          18.433    110.601
