Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             142.879      0.408          41.038    252.199
N                                 195.658    -22.461          51.907    343.155
M                                 202.657     48.975          53.435    337.838
k1                                178.608    -52.971          58.428    349.146
k2                                171.989     29.657          56.910    344.409
tau1                              225.951    -64.860          63.280    380.942
tau2                              179.937     -8.472          51.667    315.387
tauAch                            173.694      1.364          50.101    307.467
tauNor                            156.486     11.722          50.780    301.806
beta                              202.651    -27.366          50.371    323.117
h0                                189.977     -3.913          50.702    328.016
mNor                              240.364     55.135          64.701    398.012
mAch                              151.690     15.431          48.171    286.198
