Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             228.695     -4.218          67.838    412.914
N                                 316.344    -40.647          92.118    558.883
M                                 326.270     77.136          85.697    550.504
k1                                288.268    -86.185          99.308    574.180
k2                                274.417     48.978          91.217    556.589
tau1                              366.705   -103.101          97.123    625.829
tau2                              292.268    -12.520          82.267    515.265
tauAch                            277.121      6.369          83.230    505.407
tauNor                            254.833     15.086          82.402    493.918
beta                              332.366    -52.856          83.222    526.998
h0                                309.864    -15.027          85.051    539.779
mNor                              394.264     93.475         103.469    654.400
mAch                              249.856     29.089          81.388    471.898
