Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             213.447     -3.404          62.395    383.233
N                                 295.597    -38.034          84.291    521.647
M                                 303.602     70.964          80.148    511.500
k1                                269.414    -80.440          91.697    532.276
k2                                256.690     43.855          89.350    519.095
tau1                              341.868    -95.879          90.449    581.524
tau2                              271.772    -10.528          75.701    479.315
tauAch                            258.071      4.358          76.032    467.418
tauNor                            237.523     13.341          75.440    460.284
beta                              309.336    -47.239          74.595    490.844
h0                                287.866    -10.206          80.757    499.539
mNor                              366.862     86.619          96.749    608.290
mAch                              233.163     26.444          70.328    438.399
