Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             236.214     -4.164          69.992    425.902
N                                 329.600    -39.423          90.994    579.650
M                                 338.308     78.868          90.054    570.220
k1                                298.601    -88.858         101.542    591.730
k2                                287.444     49.795          97.990    578.852
tau1                              381.163   -107.641         102.936    647.437
tau2                              303.017    -12.557          87.471    533.404
tauAch                            288.555      5.224          81.295    523.629
tauNor                            265.082     15.301          85.969    512.083
beta                              344.171    -50.277          81.201    545.928
h0                                319.733    -13.634          88.812    556.510
mNor                              409.998     96.328         108.033    677.884
mAch                              258.043     28.584          76.794    488.229
