Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             196.427     -0.021          54.487    346.197
N                                 268.759    -32.366          76.076    469.360
M                                 275.554     65.677          70.718    460.091
k1                                242.583    -71.010          78.560    472.571
k2                                236.959     39.413          79.126    472.556
tau1                              307.194    -89.994          82.705    516.467
tau2                              245.066     -9.211          66.087    428.847
tauAch                            242.728     -1.484          67.928    421.475
tauNor                            214.900     15.481          67.868    413.611
beta                              276.925    -34.976          66.209    441.873
h0                                257.947     -3.384          72.111    445.457
mNor                              329.771     77.950          85.503    542.699
mAch                              205.164     19.074          65.746    388.574
