Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             240.409     -2.485          68.137    430.156
N                                 334.179    -38.394          93.627    586.170
M                                 343.648     81.255          92.861    577.072
k1                                302.837    -89.921          99.383    597.135
k2                                293.055     50.333         101.567    587.224
tau1                              385.757   -109.760         104.630    653.117
tau2                              306.695    -13.352          84.869    538.886
tauAch                            294.569      3.854          83.677    528.736
tauNor                            267.950     17.217          88.340    516.652
beta                              347.583    -48.131          84.570    552.018
h0                                323.390    -11.069          90.895    561.274
mNor                              413.846     96.125         109.050    683.675
mAch                              259.984     27.701          81.980    492.229
