Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             236.280     -5.776          70.891    422.374
N                                 326.316    -40.723          95.014    573.088
M                                 335.484     76.940          86.858    563.868
k1                                296.596    -87.691         104.275    586.914
k2                                284.135     49.042          93.107    571.301
tau1                              379.660   -105.246         105.286    641.656
tau2                              301.439    -11.394          83.818    527.869
tauAch                            285.895      6.151          82.402    519.652
tauNor                            264.353     13.635          82.707    507.215
beta                              342.518    -52.672          83.763    540.219
h0                                320.981    -15.750          83.358    552.098
mNor                              406.304     96.486         104.548    672.142
mAch                              258.129     29.693          81.786    484.639
