Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             224.371     -2.720          65.030    404.066
N                                 311.327    -38.989          87.093    549.450
M                                 320.361     75.806          82.735    540.042
k1                                283.326    -84.853          92.755    561.373
k2                                270.862     47.215          91.535    547.758
tau1                              359.606   -101.875         100.699    612.874
tau2                              286.324    -12.167          82.245    505.376
tauAch                            272.703      4.637          81.324    493.480
tauNor                            249.637     15.441          82.532    484.824
beta                              325.326    -49.007          81.151    517.431
h0                                302.428    -11.216          81.386    527.338
mNor                              386.618     90.774          97.893    640.960
mAch                              244.090     27.143          76.065    461.589
