Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             206.777     -2.200          61.092    368.801
N                                 286.483    -38.089          83.270    504.277
M                                 293.568     65.440          78.477    493.431
k1                                259.881    -75.609          86.148    508.968
k2                                251.223     37.694          84.875    505.936
tau1                              331.311    -94.844          90.928    558.894
tau2                              262.287     -7.288          71.315    460.712
tauAch                            248.280      1.100          74.644    449.398
tauNor                            232.539     11.011          75.288    449.080
beta                              303.437    -44.713          72.186    478.033
h0                                279.483     -5.884          76.245    480.730
mNor                              355.799     86.471          95.881    587.423
mAch                              226.507     22.845          68.521    423.275
