Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             237.237     -1.827          67.841    424.623
N                                 327.593    -39.007          91.203    577.003
M                                 338.595     81.230          89.663    568.420
k1                                298.494    -89.152         101.174    589.972
k2                                285.961     50.778         100.141    576.784
tau1                              378.521   -108.229         101.792    643.581
tau2                              302.071    -14.328          84.491    531.773
tauAch                            288.804      4.896          84.845    519.387
tauNor                            262.665     17.898          87.136    508.555
beta                              341.464    -50.013          81.191    543.379
h0                                318.538    -11.701          88.541    554.511
mNor                              405.759     94.430         108.805    672.369
mAch                              255.557     27.981          79.693    483.926
