Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              90.773     -1.087          26.082    163.871
N                                 125.820    -15.488          36.306    222.259
M                                 129.963     31.144          36.140    219.116
k1                                114.541    -34.332          37.724    227.890
k2                                109.511     19.664          38.036    221.841
tau1                              145.492    -41.445          39.452    248.405
tau2                              116.058     -5.407          33.270    204.945
tauAch                            110.569      2.215          32.360    200.631
tauNor                            100.953      6.631          33.507    196.120
beta                              131.675    -20.069          31.403    209.502
h0                                122.510     -5.289          35.419    214.278
mNor                              156.482     36.706          40.088    259.611
mAch                               98.581     11.090          30.021    186.985
