Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             236.345     -1.533          67.088    421.153
N                                 325.735    -40.183          90.361    573.384
M                                 335.924     80.790          88.308    563.737
k1                                296.798    -88.486          99.182    584.707
k2                                284.965     48.773          98.911    573.609
tau1                              376.206   -106.525         100.737    637.863
tau2                              298.861    -12.561          81.673    526.307
tauAch                            287.882      2.922          82.981    514.160
tauNor                            259.709     17.645          81.576    503.777
beta                              339.383    -49.050          82.238    539.857
h0                                316.411     -7.838          84.651    548.668
mNor                              401.898     93.355         103.352    666.666
mAch                              254.915     27.775          81.919    480.178
